airport,runways,
ABE,2,
ABI,3,
ABQ,4,
ABR,2,
ABY,2,
ACK,3,
ACT,2,
ACV,2,
ACY,2,
ADK,2,
ADQ,3,
AEX,2,
AGS,2,
ALB,2,
ALO,3,
ALW,3,
AMA,2,
ANC,3,
APN,2,
ART,2,
ASE,1,
ATL,5,
ATW,2,
AUS,2,
AVL,1,
AVP,2,
AZA,3,
AZO,3,
BDL,3,
BET,3,
BFF,2,
BFL,2,
BGM,2,
BGR,1,
BHM,2,
BIL,3,
BIS,2,
BJI,2,
BLI,1,
BLV,2,
BMI,3,
BNA,4,
BOI,3,
BOS,6,
BPT,2,
BQK,1,
BQN,1,NOTE: PUERTO RICO
BRD,4,
BRO,3,
BRW,1,
BTM,3,
BTR,3,
BTV,2,
BUF,2,
BUR,2,
BWI,4,
BZN,3,
CAE,2,
CAK,3,
CDC,2,
CDV,2,
CGI,2,
CHA,2,
CHO,1,
CHS,2,
CID,2,
CIU,2,
CKB,1,
CLE,4,
CLL,3,
CLT,4,
CMH,2,
CMI,4,
CMX,2,
CNY,1,
COD,1,
COS,3,
COU,2,
CPR,4,
CRP,2,
CRW,2,
CSG,2,
CVG,4,
CWA,2,
DAB,3,
DAL,3,
DAY,3,
DBQ,2,
DCA,3,
DEN,6,
DFW,7,
DHN,2,
DIK,2,
DLH,2,
DRO,1,
DSM,2,
DTW,6,
DUT,1,
DVL,2,
EAT,2,
EAU,2,
ECP,1,
EGE,2,
EKO,2,
ELM,3,
ELP,3,
ERI,2,
ESC,2,
EUG,3,
EVV,3,
EWN,2,
EWR,3,
EYW,1,
FAI,4,
FAR,3,
FAT,2,
FAY,2,
FCA,3,
FLG,1,
FLL,3,
FLO,2,
FNT,2,
FSD,3,
FSM,2,
FWA,3,
GCC,2,
GCK,2,
GEG,2,
GFK,4,
GGG,2,
GJT,2,
GNV,2,
GPT,3,
GRB,3,
GRI,2,
GRK,1,
GRR,3,
GSO,3,
GSP,1,
GTF,3,
GTR,1,
GUC,2,
GUM,2,NOTE: GUAM
HDN,1,
HGR,2,
HHH,1,
HIB,2,
HLN,3,
HNL,6,
HOB,3,
HOU,4,
HPN,2,
HRL,3,
HSV,2,
HTS,2,
HVN,2,
HYA,2,
HYS,2,
IAD,4,
IAG,3,
IAH,5,
ICT,3,
IDA,2,
ILM,2,
IMT,2,
IND,3,
INL,2,
IPT,2,
ISN,2,
ISP,4,
ITH,2,
ITO,2,
JAC,1,
JAN,2,
JAX,2,
JFK,4,
JHM,1,
JLN,3,
JMS,2,
JNU,2,
KOA,1,
KTN,2,
LAN,3,
LAR,2,
LAS,4,
LAW,1,
LAX,5,
LBB,3,
LBE,2,
LBF,2,
LBL,2,
LCH,2,
LCK,3,
LEX,1,
LFT,3,
LGA,2,
LGB,5,
LIH,2,
LIT,3,
LNK,3,
LNY,1,
LRD,3,
LSE,3,
LWB,1,
LWS,2,
LYH,2,
MAF,4,
MBS,2,
MCI,3,
MCO,4,
MDT,1,
MDW,5,
MEI,2,
MEM,4,
MFE,2,
MFR,2,
MGM,2,
MHK,2,
MHT,2,
MIA,4,
MKE,5,
MKG,2,
MKK,2,
MLB,3,
MLI,3,
MLU,3,
MMH,1,
MOB,2,
MOT,2,
MQT,1,
MRY,2,
MSN,3,
MSO,2,
MSP,4,
MSY,3,
MTJ,2,
MVY,3,
MYR,1,
OAJ,1,
OAK,4,
OGD,3,
OGG,2,
OGS,1,
OKC,4,
OMA,3,
OME,2,
ONT,2,
ORD,9,
ORF,2,
ORH,2,
OTH,2,
OTZ,2,
OWB,2,
PAH,2,
PBG,1,
PBI,3,
PDX,3,
PGD,3,
PGV,3,
PHF,2,
PHL,4,
PHX,3,
PIA,2,
PIB,1,
PIE,4,
PIH,2,
PIT,4,
PLN,2,
PNS,2,
PPG,2,NOTE: AMERICAN SAMOA
PSC,3,
PSE,1,NOTE: PUERTO RICO
PSG,1,
PSM,1,
PSP,2,
PUB,4,
PUW,1,
PVD,2,
PVU,2,
PWM,2,
RAP,2,
RDD,2,
RDM,2,
RDU,3,
RFD,3,
RHI,3,
RIC,3,
RKS,2,
RNO,3,
ROA,2,
ROC,3,
ROP,1,NOTE: MARIANA ISLANDS
ROW,3,
RST,2,
RSW,1,
SAF,3,
SAN,1,
SAT,3,
SAV,2,
SBA,3,
SBN,3,
SBP,2,
SBY,2,
SCC,1,
SCE,1,
SCK,2,
SDF,3,
SEA,4,
SFB,4,
SFO,4,
SGF,2,
SGU,1,
SHD,1,
SHV,2,
SIT,1,
SJC,3,
SJT,3,
SJU,2,NOTE: PUERTO RICO
SLC,4,
SLN,4,
SMF,2,
SMX,2,
SNA,2,
SPI,3,
SPN,1,NOTE: MARIANA ISLANDS
SPS,4,
SRQ,2,
STC,2,
STL,4,
STS,2,
STT,1,NOTE: U.S. VIRGIN ISLANDS
STX,1,NOTE: U.S. VIRGIN ISLANDS
SUN,1,
SUX,2,
SWF,2,
SWO,3,
SYR,3,
TLH,2,
TOL,2,
TPA,3,
TRI,2,
TTN,2,
TUL,3,
TUS,3,
TVC,3,
TWF,2,
TXK,2,
TYR,3,
TYS,2,
UIN,3,
USA,1,
VLD,3,
VPS,2,
WRG,1,
WYS,1,
XNA,1,
YAK,2,
YKM,2,
YUM,4,